target_image,pair,layer,correct
2898635427-367120.jpg,2898624426-291545.jpg,3,
2874303365-214262.jpg,2609793677-355397.jpg,1,
2901941401-292798.jpg,2238577590-185467.jpg,1,
2986451363-73599.jpg,2238571930-184142.jpg,2,
2512875899-126682.jpg,2512875899-126681.jpg,3,
2901939379-143479.jpg,2901938398-69594.jpg,2,
2964223381-294447.jpg,2427874231-269884.jpg,1,
2238580740-186218.jpg,2238550816-254000.jpg,1,
right.jpg,,,right
2864907432-362042.jpg,2864901420-212147.jpg,1,
2901939379-143480.jpg,2901933403-69214.jpg,3,
2449442529-124446.jpg,2452380171-273112.jpg,1,
2901952513-70703.jpg,2238537701-251773.jpg,3,
2883268471-290842.jpg,2883266367-365742.jpg,3,
2898618390-216538.jpg,2238550049-105691.jpg,1,
2898635428-69104.jpg,2864904390-212289.jpg,2,
2898624426-291546.jpg,2898625336-291572.jpg,3,
2883256307-365057.jpg,2901947448-70315.jpg,3,
right.jpg,,,right
2449441881-272368.jpg,2238576222-334523.jpg,3,
2460547508-51571.jpg,2898633480-217189.jpg,2,
2238425482-313537.jpg,2981244403-72215.jpg,2,
2592380177-354626.jpg,2238360787-310962.jpg,2,
2238572663-35822.jpg,2984615361-295510.jpg,2,
2901947423-70311.jpg,2874301385-214137.jpg,3,
2592379964-131054.jpg,2427875694-122097.jpg,2,
right.jpg,,,right
2238481928-19949.jpg,2883264367-365620.jpg,1,
2868474407-362883.jpg,2898634332-367068.jpg,3,
2874307433-66280.jpg,2446759396-271761.jpg,3,
2238481198-19822.jpg,2864908448-64141.jpg,1,
2238560245-182099.jpg,2238467949-92250.jpg,2,
2868475410-213219.jpg,2238558380-181702.jpg,3,
2592380177-354629.jpg,2898633421-291974.jpg,1,
2446758985-197609.jpg,2452380166-273110.jpg,2,
2452381505-199546.jpg,2449442621-272560.jpg,2,
2446759803-49249.jpg,2238499155-170911.jpg,2,
left.jpg,,,left
2898634397-367080.jpg,2237944827-301472.jpg,1,
2458347385-199723.jpg,2512875824-126658.jpg,2,
2901948350-218459.jpg,2238482369-94216.jpg,3,
2898633421-291973.jpg,2512876023-52283.jpg,1,
2874302418-65978.jpg,2238567130-183315.jpg,3,
2964213381-294060.jpg,2981244394-145974.jpg,1,
2446759347-347016.jpg,2446760362-347305.jpg,3,
2452380832-348593.jpg,2238515978-25479.jpg,2,
2964218374-144967.jpg,2964218374-144968.jpg,1,
2864910426-287204.jpg,2898632427-367006.jpg,3,
left.jpg,,,left
2883268412-365898.jpg,2984615358-72439.jpg,2,
2874301407-363895.jpg,2883264368-67631.jpg,1,
2964216465-219242.jpg,2238544191-252422.jpg,1,
2898618444-142233.jpg,2898631359-142721.jpg,1,
2874302418-65979.jpg,2901939433-69673.jpg,2,
2981231403-71642.jpg,2274829821-263682.jpg,1,
2981241414-145842.jpg,2868469411-287540.jpg,2,
2460547467-349421.jpg,2898619327-366362.jpg,3,
2449442529-124445.jpg,2901948476-293423.jpg,2,
2883254439-140941.jpg,2460548070-200336.jpg,2,
2238480677-317399.jpg,2238481630-168218.jpg,1,
2238428357-313623.jpg,2238499057-320266.jpg,1,
2575120738-55529.jpg,2901946413-70227.jpg,2,
2898617468-68274.jpg,2981243399-145923.jpg,3,
2874299429-139695.jpg,2874313394-140557.jpg,3,
2460547467-349422.jpg,2898635428-69106.jpg,3,
