target_image,pair,layer,correct
2874302418-65979.jpg,2413147898-43548.jpg,1,
2575120738-55529.jpg,2898632385-217137.jpg,1,
2901939379-143480.jpg,2964218373-71170.jpg,2,
2883254439-140941.jpg,2964219379-144996.jpg,3,
2238425482-313537.jpg,2981244403-72215.jpg,2,
2898618444-142233.jpg,2898631359-142721.jpg,1,
2981241414-145842.jpg,2238427023-15948.jpg,3,
left.jpg,,,left
2901952513-70703.jpg,2238537701-251773.jpg,3,
2901941401-292798.jpg,2238577590-185467.jpg,1,
2981231403-71642.jpg,2274829821-263682.jpg,1,
2874302418-65978.jpg,2898626385-216899.jpg,1,
2446759347-347016.jpg,2446760362-347305.jpg,3,
2864907432-362042.jpg,2883264367-365621.jpg,2,
2512875899-126682.jpg,2238547107-328393.jpg,2,
2446758985-197609.jpg,2981240424-145795.jpg,1,
2986451363-73599.jpg,2901939327-367669.jpg,1,
2874301407-363895.jpg,2989715317-371697.jpg,3,
2592380177-354629.jpg,2898633421-291974.jpg,1,
2898635428-69104.jpg,2901942428-69919.jpg,3,
right.jpg,,,right
2458347385-199723.jpg,2512875824-126658.jpg,2,
2898624426-291546.jpg,2898626395-216901.jpg,2,
2238580740-186218.jpg,2874312404-140477.jpg,3,
2449441881-272368.jpg,2238576222-334523.jpg,3,
2868474407-362883.jpg,2898634332-367068.jpg,3,
2452380832-348593.jpg,2238515978-25479.jpg,2,
2460547467-349422.jpg,2989721311-296963.jpg,2,
2874307433-66280.jpg,2864900357-361688.jpg,2,
2898617468-68274.jpg,2864906345-212360.jpg,1,
2238572663-35822.jpg,2575118671-277663.jpg,1,
2460547508-51571.jpg,2901941438-69836.jpg,3,
2238481198-19822.jpg,2901941438-69835.jpg,3,
2898634397-367080.jpg,2898636423-69152.jpg,2,
left.jpg,,,left
2238480677-317399.jpg,2446761173-49643.jpg,2,
2446759803-49249.jpg,2238499155-170911.jpg,2,
2874299429-139695.jpg,2238571930-184143.jpg,2,
2238481928-19949.jpg,2989726338-74002.jpg,2,
2898635427-367120.jpg,2449442621-272561.jpg,2,
right.jpg,,,right
2964216465-219242.jpg,2238544191-252422.jpg,1,
2874303365-214262.jpg,2512875685-200826.jpg,2,
2898633421-291973.jpg,2512876023-52283.jpg,1,
2592379964-131054.jpg,2424122686-268072.jpg,3,
2592380177-354626.jpg,2579432708-56392.jpg,3,
2449442529-124446.jpg,2452380171-273112.jpg,1,
2460547467-349421.jpg,2898619327-366362.jpg,3,
2883256307-365057.jpg,2864901420-212148.jpg,2,
2901948350-218459.jpg,2238482369-94216.jpg,3,
2868475410-213219.jpg,2238558380-181702.jpg,3,
2964213381-294060.jpg,2981244394-145974.jpg,1,
2964223381-294447.jpg,2901938432-367628.jpg,3,
2449442529-124445.jpg,2901948476-293423.jpg,2,
left.jpg,,,left
2238428357-313623.jpg,2238499057-320266.jpg,1,
2901947423-70311.jpg,2860312398-62572.jpg,1,
2452381505-199546.jpg,2901938432-367627.jpg,1,
2238560245-182099.jpg,2901943480-218116.jpg,3,
2883268471-290842.jpg,2883266367-365742.jpg,3,
2901939379-143479.jpg,2446759306-271734.jpg,3,
2864910426-287204.jpg,2864903351-286874.jpg,2,
2964218374-144967.jpg,2964218374-144968.jpg,1,
2883268412-365898.jpg,2984626312-370849.jpg,1,
2898618390-216538.jpg,2864910427-362199.jpg,2,
