target_image,pair,layer,correct
2898618444-142233.jpg,2862691449-137104.jpg,2,
2868475410-213219.jpg,2238558380-181702.jpg,3,
2898635427-367120.jpg,2964221435-219434.jpg,1,
2898635428-69104.jpg,2446759803-49250.jpg,1,
2449441881-272368.jpg,2238576222-334523.jpg,3,
2901948350-218459.jpg,2898629328-68806.jpg,2,
2238481928-19949.jpg,2989726338-74002.jpg,2,
2898624426-291546.jpg,2964207374-144577.jpg,1,
2238580740-186218.jpg,2874312404-140477.jpg,3,
2874301407-363895.jpg,2901949316-293452.jpg,2,
2874302418-65979.jpg,2238470808-18373.jpg,3,
2452380832-348593.jpg,2237856283-1014.jpg,3,
2864907432-362042.jpg,2883264367-365621.jpg,2,
2901939379-143480.jpg,2964218373-71170.jpg,2,
left.jpg,,,left
2964223381-294447.jpg,2427874231-269884.jpg,1,
2898633421-291973.jpg,2238580922-335631.jpg,2,
left.jpg,,,left
2449442529-124445.jpg,2901948476-293423.jpg,2,
2449442529-124446.jpg,2452380171-273112.jpg,1,
2446759347-347016.jpg,2864904415-212294.jpg,2,
2452381505-199546.jpg,2898622392-366513.jpg,3,
2898618390-216538.jpg,2864910427-362199.jpg,2,
2460547508-51571.jpg,2898633480-217189.jpg,2,
2883268471-290842.jpg,2883268471-290843.jpg,1,
2981241414-145842.jpg,2868469411-287540.jpg,2,
2238428357-313623.jpg,2856919327-359675.jpg,3,
2512875899-126682.jpg,2512875899-126681.jpg,3,
2868474407-362883.jpg,2238516618-25604.jpg,1,
2874307433-66280.jpg,2864900357-361688.jpg,2,
2964216465-219242.jpg,2238544191-252422.jpg,1,
2238572663-35822.jpg,2238375825-162206.jpg,3,
2901939379-143479.jpg,2901938398-69594.jpg,2,
2901941401-292798.jpg,2238577590-185467.jpg,1,
left.jpg,,,left
2883256307-365057.jpg,2864901420-212148.jpg,2,
2458347385-199723.jpg,2238436632-314070.jpg,3,
2874302418-65978.jpg,2898626385-216899.jpg,1,
2986451363-73599.jpg,2898630381-291834.jpg,3,
2460547467-349421.jpg,2898618440-216547.jpg,1,
2901947423-70311.jpg,2446759065-197639.jpg,2,
2446759803-49249.jpg,2446760844-124088.jpg,3,
2883254439-140941.jpg,2883255450-215311.jpg,1,
2874299429-139695.jpg,2883266388-67750.jpg,1,
right.jpg,,,right
2898617468-68274.jpg,2981243399-145923.jpg,3,
left.jpg,,,left
2964213381-294060.jpg,2981244394-145974.jpg,1,
2592380177-354629.jpg,2898633421-291974.jpg,1,
2446758985-197609.jpg,2981240424-145795.jpg,1,
2864910426-287204.jpg,2898632427-367006.jpg,3,
2592380177-354626.jpg,2579432708-56392.jpg,3,
2898634397-367080.jpg,2898636423-69152.jpg,2,
2460547467-349422.jpg,2898631394-142727.jpg,1,
2981231403-71642.jpg,2274829821-263682.jpg,1,
2964218374-144967.jpg,2898633476-291993.jpg,3,
2883268412-365898.jpg,2862687418-62786.jpg,3,
2592379964-131054.jpg,2427875694-122097.jpg,2,
2901952513-70703.jpg,2864907361-287062.jpg,1,
2238481198-19822.jpg,2901941438-69835.jpg,3,
2874303365-214262.jpg,2512875685-200826.jpg,2,
2575120738-55529.jpg,2460547859-126142.jpg,3,
2238425482-313537.jpg,2981244403-72215.jpg,2,
2238560245-182099.jpg,2549106624-127823.jpg,1,
2238480677-317399.jpg,2238573546-258454.jpg,3,
